recid,hash,chash,start,end
GUT_GENOME138446_32,838c875317b10b717bb2,5120643663931853b236,1431,1958
GUT_GENOME138446_32,cb22af1c0992a45b0466,5120643663931853b236,1960,2214
GUT_GENOME138446_32,264871456c10397f52ca,5120643663931853b236,2189,3556
GUT_GENOME138446_32,cd5fe0414237e8928207,5120643663931853b236,3543,4889
GUT_GENOME138446_32,696fb5f6f266400c8070,5120643663931853b236,4873,5580
GUT_GENOME138446_32,6aab938fd7fbaae61c7c,5120643663931853b236,5633,5878
GUT_GENOME138446_32,29a857367468b90e264a,5120643663931853b236,5893,6633
GUT_GENOME138446_32,ce534b95ee78861e2bed,5120643663931853b236,6721,7125
GUT_GENOME138446_32,6a1ca9879dde10931d12,5120643663931853b236,7360,7518
GUT_GENOME138446_32,e33b3adaf83cda2c0657,5120643663931853b236,7657,10008
GUT_GENOME138446_32,39038b81783b70eb5c70,5120643663931853b236,10001,11764
GUT_GENOME138446_32,6045201bac9836c9da70,5120643663931853b236,11884,13149
GUT_GENOME138446_33,bb33b631726471001eae,6cc0ed2e67391234260d,75,1421
GUT_GENOME138446_33,aeffdf3fea412a0e247d,6cc0ed2e67391234260d,1627,2004
GUT_GENOME138446_33,86c5dd81c999edf68702,6cc0ed2e67391234260d,2030,3910
GUT_GENOME138446_33,a58f0660019fb0a81bb8,6cc0ed2e67391234260d,4215,4622
GUT_GENOME138446_33,75708f788085682abd4e,6cc0ed2e67391234260d,4665,5072
GUT_GENOME138446_33,ec7b3f2b3f1a79a8309a,6cc0ed2e67391234260d,5091,5897
GUT_GENOME138446_33,f386091b13ab0afb481c,6cc0ed2e67391234260d,6061,6954
GUT_GENOME138446_33,0dddf14e6a54b2a0f9fd,6cc0ed2e67391234260d,7027,8298
GUT_GENOME138446_33,c600909afb6ae0097b13,6cc0ed2e67391234260d,8285,9553
GUT_GENOME138446_33,2490be1fbc55fbab1aa3,6cc0ed2e67391234260d,9588,10292
GUT_GENOME138446_33,322834029092f93f26bf,6cc0ed2e67391234260d,10301,11191
GUT_GENOME138446_33,9f4dc3bdcfb767e9348a,6cc0ed2e67391234260d,11224,12690
GUT_GENOME138446_33,4dbe3c9992bdf840abe9,6cc0ed2e67391234260d,12871,12984
GUT_GENOME138446_34,fd06ce52469f23fe8464,ba05666fb8937d955dce,1,1374
GUT_GENOME138446_34,07203e03aa461c5a2c4f,ba05666fb8937d955dce,1716,3458
GUT_GENOME138446_34,33affe8b46f223c103a9,ba05666fb8937d955dce,3478,4839
GUT_GENOME138446_34,2c75cafcbd27c977f734,ba05666fb8937d955dce,5296,5799
